id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
Abu-Akel_2020-1	0.041498627513791006	0.00027290217357945826	0.0	0.0	0.049167942692053074	0.0	0.0	0.0	0.0	0.0
Alkire_2018-1	0.10920431685468741	0.07874915964393793	0.022664911351097675	0.09070440380655673	0.019553774245503974	0.09146652567919027	0.23734594089052752	0.1886061299467493	0.00010037245508881114	0.23351915047297106
Anders_2015-1	0.0	0.00010092843517413867	2.1893390882162018e-05	0.0	0.12507708740496642	4.4417634138661635e-10	0.0	0.0	0.0	0.13956554040245248
Berns_2005-1	0.02756199619200394	0.004905166858497688	2.819191417041061e-06	0.06667064788041048	0.11650298850185291	0.02576435164704469	0.045433490999634916	1.5677660306878673e-05	0.024669253785271864	0.0
Brune_2013-1	0.0	0.0	4.489557832905907e-09	0.0022632639618355645	0.0	6.975289484806611e-05	0.0032113410514418715	0.0	0.0	0.0
Chaminade_2012-1	0.10895655611792707	2.685029859627893e-06	5.446732765102814e-05	0.0	0.0746400548498394	0.0	0.0014283636802148716	0.0	5.89702734577737e-06	2.0852306419248346e-05
Chaminade_2015-1	0.07009057198715347	0.00011546256931296437	0.0022868504251380944	0.0	0.085066224221308	0.0	0.0	0.0	0.11058840367265502	0.0
Delgado_2008-1	0.0	0.0	0.0005993127957587038	0.0	0.0	0.0	0.0	0.0	0.09752412925209862	0.0
Edmiston_2015-1	4.399277298137898e-06	0.0	1.0071452779902434e-06	7.93767057717891e-06	0.0	0.0	6.334797491039209e-11	0.0	0.05337898079865974	0.0
Elliott_2006-1	0.0	0.11651835439821698	0.11864125962644576	0.0	0.0009269880561541608	2.525482693511839e-06	0.0	0.0	0.20730239549484863	0.0016348543222401838
Fareri_2012-1	0.06110006242317705	0.0010557515176985613	0.0760561091539366	0.1086509072256994	0.12441441331605078	0.057785908326528	0.19734369467724516	0.0021138093644208853	0.0004978106082807872	0.14425154041951146
Fareri_2014-1	0.0	0.09073858992407326	0.07179989635290718	0.025925476363819325	0.0003701864500799455	0.0011772205387089452	4.387964962859324e-06	0.025416524578089218	0.0002892011478844355	0.05474738930813888
Fareri_2015-1	0.0	0.0035622282758699304	0.0	0.000593652286086961	0.0	3.1602487120881612e-06	0.0060021511502826395	2.1755016232916093e-09	0.0	0.0
Fukui_2006-1	0.0	0.0015872109017201455	0.0	0.0	0.08898490198200774	0.0	0.0	0.0	0.0	8.777524353597819e-07
Gallagher_2002-1	0.0	0.06685401853507653	0.0	0.0	0.0024200911299594296	0.0006535542033458075	0.0	1.1861147388953819e-05	0.0	0.0
Hu_2018-1	0.03261286800460284	0.0	0.0745303049184162	7.927394551303362e-06	0.0	0.0	0.0	0.0	7.044897998298438e-10	0.0
Kircher_2009-1	0.00022276957801563692	0.0037108322888117643	0.0	0.0	0.00026238225773078715	0.12036868510554574	0.004729821510612746	0.006281984915945909	0.0	0.0
Krach_2008-1	0.11626035978654453	0.00031295274967946035	0.00048419352986909083	0.13023939576426447	0.10301360796085912	2.07229661310525e-05	0.0	0.0	0.2355812411817837	0.0
Krach_2009_Study1-1	0.0	0.08338324740014837	0.0	0.0	0.0063657983667977855	0.0	0.0818804337166706	5.679138534032153e-06	0.0	0.0
Krach_2009_Study2-1	0.11121271128648717	0.07167857115661083	0.11187986319860119	0.0	0.013499986783592221	0.0	0.0	0.0	9.859747762124986e-05	0.0
Ozdem_2017-1	0.0	0.0	6.8349641119742126e-09	0.0	0.0	0.0	0.0	0.0	6.478030366473027e-06	0.0
Pfeiffer_2014-1	0.0	1.1321117121082671e-05	0.0	0.0005041215323922564	4.63215694709213e-07	4.100841120954891e-05	0.16011219672219773	0.22890067776770592	0.0	0.0
Polosan_2011-1	0.0	0.06511613070856548	0.0	0.0	0.0007799334925300095	4.167658873930089e-07	0.0	0.0009624969785540382	0.0	0.0
Riedl_2014-1	0.0	0.000295285747643821	0.006265633115425925	0.0	0.12277807713638852	0.004715149936678298	3.3970674194185445e-11	7.28166288911533e-05	0.05824241542325414	0.1634061130876701
Rilling_2004-1	0.10619532230029793	0.09209642133100619	0.1296987947915374	0.007977400063349922	6.343515577204896e-06	0.11083378016419428	0.0029773348564500245	0.03161229038159865	0.012794401146283418	0.0
Rilling_2008-1	0.021634512122416457	8.352100704404424e-07	0.010869294051054865	0.12274600381956761	0.004512684013629442	0.13227153538972952	0.0	0.0	0.004537161398095372	2.2072580387388126e-07
Rilling_2012-1	0.0	0.04505648731303891	0.046197099769206315	0.0	1.0965592733518855e-05	0.13116059393422003	0.006489929786010899	0.2310641460131069	0.0	0.0
Schindler_2019-1	0.0	0.14663494978839398	0.08733691474326864	0.19872273126695647	0.001207115425616317	0.10880784072281321	0.1267466207934268	0.0018291255017434571	2.045508932319706e-05	0.0
Schuwerk_2017-1	0.0	7.837155427173701e-05	0.0011739500022967476	0.0	7.913493515664509e-05	0.0	0.0	0.0	0.1786891555978529	0.0
Sun_2016-1	0.0	8.315916709397161e-06	0.10518887648704599	0.0	0.04433030499126359	0.0	0.0	0.09852818463783172	4.683565341059509e-05	0.0
Takahashi_2014-1	0.05062370326908806	0.05615045241236124	0.06921788083861374	0.0	1.2071805117490817e-05	0.00028968105413745344	0.0	0.0	6.083304313064808e-07	0.1668984629292319
Takahashi_2015-1	0.0515932065838734	9.657926697675325e-07	0.0581358490250607	0.0976038915336104	0.00870030554682976	0.06346440904681414	2.2265909840589792e-06	0.0	0.009674257413564683	0.08984712196639388
Warnell_2018-1	0.08382403510487871	0.06365630269890965	0.0	0.14013945009628384	0.0	0.1440680812192876	0.12000145796249134	0.17727272963540947	0.0	0.0
vandenBos_2007-1	0.0	0.0	0.0	2.0204860789847307e-12	0.0	0.0	0.0	0.0	0.0	0.0
