Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Paired Associate Recall,1.1702060271012726e-05,4.383066073124043,6.850088678687555,1.085120191257794e-08,5.716857532220339,0.010745277478756556
RT.Button Press,0.008555969357976867,2.6293045706244653,1.3970900686093262,0.00042493403572706597,3.5240936482894316,0.07533134364450494
Instruct.Recall,0.0022567660319211535,3.0541800367074683,2.054965859714463,0.0006652097251855349,3.4035305560595877,0.02356029003984616
RM.Hand,0.04695033821896588,1.9867479231725371,1.254881064153628,0.010050472180819996,2.574087948394176,0.07502508543983404
Contrast.External Variable,0.0053698173951166606,2.783968953014118,2.067622557026731,0.017566846355448196,2.374623753904972,0.020910324789834497
PC.Delayed Match to Sample,0.052447453206969086,1.939442717703802,1.8891951425506175,0.02587560903153604,2.228073575943367,0.00527639457104108
BD.Cognition,0.014090159195138452,2.454956616061014,1.7945861598983983,0.03048772268029382,2.16369555109343,0.021124300888631667
SM.Visual,0.20813805520596051,1.2587018161113097,1.1013102485480237,0.06242330979735099,1.8632769612872149,0.08119494272245925
Instruct.Discriminate,0.033558041739057964,2.125342532153583,1.3492775839309123,0.06431460521428929,1.8499926759331782,0.05513281182224182
BD.Cognition.Memory.Explicit,0.04112104394669869,2.042307446226045,1.718952645789583,0.09406796335006286,1.6743187912239437,0.01308743608180753
ST.Shapes,0.14820031212716145,1.4459176096190496,1.2690073050259014,0.1246427579584816,1.5355745583365366,0.01747850194990531
ST.Digits,0.12089334445454547,1.5510348001892234,1.4645643165764677,0.15545283757640194,1.4205320747186039,0.007228292914150487
PC.Pain Monitor/Discrimination,0.09718455214319377,1.6586588682544992,1.5988360861586013,0.1662487070407822,1.3843585081987022,0.006320944329678247
BD.Cognition.Memory.Working,0.13197445901869376,1.5063612635976205,1.381122236128494,0.17613970694386055,1.352736870654475,0.010057372959313585
PC.Reward,0.04753037420126471,1.9815433388298083,1.6739676386313838,0.19699026591817836,1.290173957880983,0.014388757196926028
ST.Abstract/Geometrical,0.08949995025242663,1.6980413898623927,1.636455758774098,0.2717504273349567,1.0990404392861914,0.007304468874334067
PC.Finger Tapping/Button Press,0.14583832017373588,1.4543896053800411,1.3678182290375511,0.4027428137298943,0.8367327362741903,0.010152376185001581
BD.Emotion,0.18156860195300784,1.3359408670542847,1.2213669447709197,0.5672073467458738,0.5721692070382183,0.0213550182309601
ST.Pictures,0.3835527106151754,0.8713689925393072,1.0313684750360668,0.7985271402257522,0.2552537226381243,0.020466320692825727
SM.Tactile,0.25514464401939807,1.1379421387148272,1.1724156248893296,0.857963317444776,0.17896737703852486,0.009404778527784968
PC.n-back,1.0,-0.0,0.8635841919916525,1.0,-0.0,0.002786387638892312
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Covert),1.0,-0.0,0.689094958577911,1.0,-0.0,0.001256699492817135
PC.Reading (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,1.7264027951606173,1.0,0.0,0.0012109358860819773
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reasoning/Problem Solving,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Covert),1.0,-0.0,5.32071681131469,1.0,0.0,0.0013571144356686244
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pitch Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Physical Size,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Phonological Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Theory of Mind,1.0,-0.0,0.6548024051584319,1.0,-0.0,0.0016367511963201818
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Semantic Monitor/Discrimination,1.0,0.0,0.6935122339534104,1.0,-0.0,0.0048644433030643535
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Color Word,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,3.5536174323744096,1.0,0.0,0.0014502303166561066
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Task Switching,1.0,-0.0,1.8564178769696629,1.0,0.0,0.0028410136327247843
PC.Taste,1.0,-0.0,1.5166529228513834,1.0,0.0,0.0021856518236130435
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Wisconsin Card Sorting Test,1.0,-0.0,3.716378536147283,1.0,0.0,0.0027015382974159194
PC.Tone Monitor/Discrimination,1.0,-0.0,0.8134429210280603,1.0,-0.0,0.0009855235782831675
PC.Tower of London,1.0,-0.0,8.047034516285853,1.0,0.0,0.0015393715396323858
PC.Transcranial Magnetic Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,5.0978595626732375,1.0,0.0,0.008386754053096654
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visuospatial Attention,1.0,0.0,1.2475223273165768,1.0,0.0,0.0052820528285383046
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pseudowords,1.0,-0.0,0.5570315654866065,1.0,-0.0,0.0014065699216824063
ST.Inhalation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Instruction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Game,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Program,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Letters and abstract objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Mathematical Equation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Music,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Noise,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Numbers,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Odor,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Heat,1.0,0.0,2.4026926007910876,1.0,0.0,0.004228571000416464
ST.Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Sounds (Environmental),1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Syllables,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Symbols,1.0,-0.0,0.741859943977591,1.0,-0.0,0.002469327877746305
ST.TMS,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tactile Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tones,1.0,0.0,0.7816627052212375,1.0,-0.0,0.0034989910976573214
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,5.019026682838083,1.0,0.0,0.008321070212514579
ST.Video,1.0,0.0,1.2607136510193202,1.0,0.0,0.003553244224541185
ST.Vignettes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Infusion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Food,1.0,-0.0,0.9736911764705882,1.0,-0.0,0.002123409101768913
RT.Grasp,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract Patterns,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,1.1536625313632562,1.0,0.0,0.0009269059436506855
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Point,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Passive Listening,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Smile,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Swallow,1.0,-0.0,1.291367608051178,1.0,0.0,0.0016963030502598073
RT.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Whistle,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Write,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Gustatory,1.0,-0.0,0.9966132819555663,1.0,-0.0,0.0021225575367691315
SM.Interoceptive,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Olfactory,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Fixation Point,1.0,-0.0,0.2263871603047171,1.0,-0.0,0.002306826336202735
ST.Air Puff,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Animations,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Arrow,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Asian Characters,1.0,-0.0,0.7884139080733508,1.0,-0.0,0.0011462397310493457
ST.Blurred disk,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Braille,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Cartoons,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Clicks,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Electricity,1.0,-0.0,1.3486027374938896,1.0,0.0,0.001702689905194492
ST.Faces,1.0,0.0,0.7691083542421708,1.0,-0.0,0.0049336898376327485
ST.Faces and Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.False Font,1.0,-0.0,2.885010893246187,1.0,0.0,0.0027962588994487744
ST.Film Clip,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Passive Viewing,1.0,-0.0,0.41153473223608966,1.0,-0.0,0.0014432963646454674
BD.Action.Execution,1.0,-0.0,0.2573179641835593,1.0,-0.0,0.002467767708495948
BD.Action.Execution.Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Sleep,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Thirst,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Audition,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Gustation,1.0,-0.0,1.1388200894392846,1.0,0.0,0.0021349552885334307
BD.Perception.Olfaction,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Somesthesis,1.0,-0.0,0.9185765815760266,1.0,-0.0,0.004182152980974853
BD.Perception.Somesthesis.Pain,1.0,0.0,1.4040247678018576,1.0,0.0,0.004673385493211283
BD.Perception.Vision,1.0,-0.0,0.4186118557483183,1.0,-0.0,0.0014734552002740947
BD.Perception.Vision.Color,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision.Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision.Shape,1.0,0.0,1.6054265069589253,1.0,0.0,0.006346999335159196
BD.Pharmacology.Alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.Experience Dependent Change,1.0,-0.0,1.3514103767808303,1.0,0.0,0.003067775546666881
Contrast.Group,1.0,-0.0,1.6475316014730765,1.0,0.0,0.0029835850867415284
Contrast.Session,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Add,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Answer,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Choose,1.0,-0.0,1.3229499680306904,1.0,0.0,0.0016196865764827712
Instruct.Count,1.0,-0.0,1.9281013395457194,1.0,0.0,0.0028277696335293266
Instruct.Detect,1.0,0.0,0.6431249514336779,1.0,-0.0,0.0039122812484791904
Instruct.Encode,1.0,0.0,1.4375361857341362,1.0,0.0,0.0037949447788555475
Instruct.Experience,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Fixate,1.0,-0.0,0.26044969278335917,1.0,-0.0,0.0022088276213547307
Instruct.Generate,1.0,0.0,0.780409705960931,1.0,-0.0,0.004428931902297932
PC.Orthographic Discrimination,1.0,-0.0,1.3283644972313617,1.0,0.0,0.001643256367500256
Instruct.Inhibit,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Maintain,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Move,1.0,0.0,0.44569324525660126,1.0,-0.0,0.00406972818759815
BD.Interoception.Thermoregulation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Sexuality,1.0,-0.0,1.1619226449529694,1.0,0.0,0.001096541986147047
Instruct.None,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Respiration Regulation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Imagination,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Inhibition,1.0,0.0,1.6047650209651227,1.0,0.0,0.004707123741021211
BD.Action.Motor Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Observation,1.0,-0.0,0.9057592339261287,1.0,-0.0,0.001212881575877796
BD.Action.Preparation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Language,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Language.Orthography,1.0,-0.0,0.6610259174953077,1.0,-0.0,0.0014921348841053091
BD.Cognition.Language.Phonology,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Language.Semantics,1.0,0.0,0.590921666800539,1.0,-0.0,0.006292637576766625
BD.Cognition.Language.Speech,1.0,-0.0,0.3498710659254719,1.0,-0.0,0.0026459342695710287
BD.Cognition.Language.Syntax,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Memory,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Cognition.Music,1.0,-0.0,0.9273249299719888,1.0,-0.0,0.000981581483970035
BD.Cognition.Reasoning,1.0,0.0,1.5504636568002998,1.0,0.0,0.004330340385214289
BD.Cognition.Social Cognition,1.0,0.0,1.4928189750411471,1.0,0.0,0.005977961648324299
BD.Cognition.Soma,1.0,-0.0,4.6476905798118775,1.0,0.0,0.0034970798477122044
BD.Cognition.Space,1.0,-0.0,1.3542297308353104,1.0,0.0,0.0027805745909669456
BD.Cognition.Time,1.0,-0.0,2.7505400465270853,1.0,0.0,0.0015785081041993108
BD.Emotion.Anger,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Anxiety,1.0,-0.0,7.0813903743315505,1.0,0.0,0.003522082082678899
BD.Emotion.Disgust,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Fear,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Happiness,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Happiness.Humor,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Emotion.Sadness,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Bladder,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Interoception.Hunger,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Name,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Imagine,1.0,0.0,1.167028976992315,1.0,0.0,0.0038696467148889215
Instruct.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Imagined Movement,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hunger/Satiety,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hand-Eye Coordination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Grasping,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Go/No-Go,1.0,0.0,1.0751098746454784,1.0,0.0,0.0029478653370288203
PC.Gambling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Fluency Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Flashing Checkerboard,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Flanker,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Fixation,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Film Viewing,1.0,0.0,1.3356531913176792,1.0,0.0,0.0034067481718430483
PC.Figurative Language,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Face Monitor/Discrimination,1.0,-0.0,0.5687448460692688,1.0,-0.0,0.00321319831148422
PC.Estimation,1.0,-0.0,17.54398516163222,1.0,0.0,0.002461145368469316
PC.Episodic Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Hypercapnia,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Imagined Objects/Scenes,1.0,-0.0,1.1179003174174378,1.0,0.0,0.0014399280203480586
PC.Driving,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Isometric Force,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Olfactory Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Oddball Discrimination,1.0,-0.0,1.7865893146249325,1.0,0.0,0.0009341678542038246
PC.Object Manipulation/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Naming (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Naming (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Music Production,1.0,-0.0,3.833429828624363,1.0,0.0,0.0008310990175915532
PC.Music Comprehension,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Multi-Tasking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Micturition,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Mental Rotation,1.0,-0.0,2.0827618748033974,1.0,0.0,0.0031077194847166753
PC.Meditation,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Magnitude Comparison (Symbolic),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Magnitude Comparison (Non-symbolic),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Luminance,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Lexical Decision,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Emotion Induction,1.0,-0.0,0.6678265956588396,1.0,-0.0,0.0018311271423656383
PC.Encoding,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Drawing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Autobiographical Recall,1.0,-0.0,1.3870244679068209,1.0,0.0,0.0015035552027653455
Instruct.Predict,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Rate,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Read,1.0,-0.0,0.5212479531427132,1.0,-0.0,0.0020673836690901608
Instruct.Repeat,1.0,-0.0,1.0946500016532752,1.0,0.0,0.002708278622546796
Instruct.Report,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Sing,1.0,-0.0,4.308368037480479,1.0,0.0,0.0008241767977677818
Instruct.Track,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Update,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Affective Pictures,1.0,-0.0,2.123644877798448,1.0,0.0,0.0030603892492029965
PC.Affective Words,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Anti-Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Classical Conditioning,1.0,-0.0,1.9630870493358632,1.0,0.0,0.0021530511077170167
PC.Divided Auditory Attention,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Digit/Numerical,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Delay Discounting,1.0,-0.0,1.633710027635215,1.0,0.0,0.0008750655664890138
PC.Deception,1.0,-0.0,1.8132051703362908,1.0,0.0,0.001202448879871753
PC.Cued Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Chewing/Swallowing,1.0,-0.0,2.1831640728040096,1.0,0.0,0.0015870023182129394
PC.Cued Explicit Recognition/Recall,1.0,0.0,1.0911742732206817,1.0,0.0,0.00403560308746361
PC.Counting/Calculation,1.0,-0.0,1.1823815136254867,1.0,0.0,0.0027293079206224553
Contrast.Stimulus Type,0.5247052311974074,0.6361092280771548,0.9783087939781653,0.9573347006730182,-0.05349853149471383,0.06984336919207416
BD.Cognition.Attention,0.46557386574955617,0.7296995344642906,0.9625258763054451,0.8410187181125017,-0.2005905880877899,0.013011716994414774
ST.Letters,0.4939925328127701,0.683972497338253,0.887432716433274,0.8119741081217687,-0.2378800771958643,0.007039505457273825
RT.Speech,0.6610724607960096,0.43843295602444393,0.7449817723569917,0.5922150024868562,-0.5356289704905538,0.0066980917719123
RM.Oral/Facial,0.754913647262077,0.31216695097348934,0.6973200117955991,0.4016843973680274,-0.838616769261583,0.008243814155452176
ST.Words,0.8239729490068342,0.2224379793932783,0.7710115224947744,0.12749435992670236,-1.524057452655531,0.024139523584704125
Contrast.Stimulus Modality,0.9477532115076103,0.06552850485867824,0.4791787285780454,0.12260092627837534,-1.5439480172197113,0.006434906364146364
Contrast.Instruction,0.9361871836028555,0.08006295770891958,0.7405538525269263,0.10620328513271843,-1.6154961882533585,0.035699717144639695
Contrast.Response Modality,0.9898603789057475,0.012708472537052424,0.4382612034011135,0.09190086496785843,-1.685454766178668,0.0077466259601299825
Instruct.Passive/Rest,0.9590277349170173,0.05137370820031491,0.4919288530501456,0.06791514113819026,-1.8255694494128978,0.008212176449674435
SM.None,0.9695362675054051,0.03818990771342937,0.4408236039798027,0.055842840863393695,-1.9122600998041603,0.006774359149345044
ST.None,0.9712954316364495,0.0359836052086068,0.43706399877483987,0.05208341342551874,-1.94244366625942,0.006789044461440037
Instruct.Attend,0.971686671769535,0.03549294517237957,0.5344404822976944,0.03388821446083364,-2.1213992960325143,0.012609196285175686
SM.Auditory,0.9789972789573487,0.026326047814007464,0.4185758647023421,0.031117396290524298,-2.155568220440505,0.007003648601717264
Contrast.Response Type,0.9982118212559618,0.0022411515760766922,0.3735524627476771,0.016356967814186947,-2.400851614039084,0.008146368361494238
RM.None,0.9991288721953886,0.0010917970098354907,0.4964087569350727,0.0005903861625568943,-3.435993029269826,0.02209434803221497
RT.None,0.999160437010257,0.0010522363583846208,0.4953984975907581,0.0005768220782278739,-3.442285050262555,0.022068336652967792
